#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)"
20,-2.7693667608553163,11.415623532318465,8.646256771463149,56.04009385543984
40,-2.5193212147920407,18.770926998317034,16.251605783524994,92.14779269491684
60,-1.8443723103997076,23.03208062735662,21.187708316956915,113.06609370824118
80,-0.8182141856165324,28.207554879723865,27.389340694107332,138.47285857114727
100,0.4131591313654469,31.271091478503465,31.68425060986891,153.51197387125706
120,2.0464093040159925,37.98369407218093,40.03010337619693,186.4646092046644
140,4.437024512945572,39.7073943595531,44.14441887249867,194.9263743994883
160,6.591781124099982,50.826807430413204,57.418588554513185,249.51235039495361
180,9.265498474383307,42.43992092508289,51.705419399466194,208.34053830926047
200,12.242045307676007,36.67659546085985,48.91864076853586,180.0479707574195
220,14.835607904523942,38.61830455262897,53.45391245715291,189.5799564115227
240,17.896002019911037,47.50136069439905,65.39736271431008,233.18749992402618
260,21.765507766535617,45.483774189613236,67.24928195614885,223.28302674570455
280,25.223140699641604,42.426411695483296,67.6495523951249,208.2742205568808
300,27.78736478216269,50.55895357248229,78.34631835464498,248.1974370837802
320,29.845210802897597,52.88073971943958,82.72595052233717,259.5952475686291
340,30.88025626179802,58.68602501452219,89.56628127632021,288.09379886309006
360,30.38768438989515,55.09859103070797,85.48627542060312,270.482834680189
380,27.620630976232018,58.86016738494902,86.48079836118104,288.94867593181084
400,25.618979242049086,65.54907081851019,91.16805006055927,321.7849704316709
420,24.99934740888102,66.60178395930787,91.60113136818889,326.9528128229463
440,26.807487967843826,54.53632550793943,81.34381347578326,267.7226339273855
460,28.32121755226188,54.039056985607004,82.36027453786889,265.28150799291757
480,28.451741240007546,53.53356463073085,81.9853058707384,262.8000106896586
500,29.463651538551414,52.57401775590664,82.03766929445806,258.0895280102319
520,30.284305057909755,57.055117646713825,87.33942270462359,280.0875605964934
540,31.345559544946703,62.843668482418074,94.18922802736478,308.50396126015204
560,33.38865974998524,68.40275972612693,101.79141947611217,335.79392874781735
580,37.73516594923853,67.77341930200603,105.50858525124457,332.7044526158382
600,42.781968481425025,60.22015843933104,103.00212692075607,295.6249670791459
620,44.941988901690294,59.77171243847013,104.71370134016043,293.42351431520405
640,44.74970346595332,65.729400821731,110.47910428768432,322.6702230222838
660,41.78447187032167,83.81429290358234,125.59876477390401,411.4502223594393
680,39.24706864238181,79.25408383125645,118.50115247363826,389.063837271487
700,37.828197072548036,68.06494911118497,105.89314618373301,334.13559282660236
720,32.118856607914154,74.89268982598784,107.011546433902,367.6534492445995
740,26.261223869118094,79.5201630881814,105.7813869572995,390.37003894228013
760,21.927531728416927,76.85033571386614,98.77786744228307,377.26366974476133
780,18.69675713153838,89.71181631619436,108.40857344773273,440.40157702016086
800,17.838115416750597,100.85311841269993,118.69123382945052,495.09500777253044
820,18.129119273679617,100.1006760509128,118.22979532459242,491.40121562390345
840,20.28163502875938,90.39428006261112,110.6759150913705,443.75183925453246
860,24.767968347209862,89.32323187431517,114.09120022152503,438.49398883349517
880,29.609680047517823,74.77301456927539,104.38269461679322,367.0659550442738
900,32.2564316271675,75.85738713955017,108.11381876671767,372.38921578779986
920,32.9116020669829,58.54958352468472,91.46118559166763,287.42399805241854
940,30.917460561486642,54.95435858821885,85.87181914970549,269.7747875383744
960,27.47096457203762,70.63804932532408,98.10901389736169,346.7671216337302
980,23.319945818099026,73.81563566461767,97.1355814827167,362.36611508193226
1000,22.557002990070004,88.2026237034871,110.75962669355711,432.9928449940379
1020,24.77386242190661,85.52761193392995,110.30147435583656,419.861025237895
1040,29.19499309294792,68.46931152213547,97.6643046150834,336.1206361662959
1060,31.954981584826292,56.337167685404125,88.29214927023042,276.5630940527782
1080,31.132012319524048,57.95363963138069,89.08565195090473,284.49846782458775
1100,29.451700252572582,62.82901125751475,92.28071151008733,308.43200791858317
1120,25.664901846099404,57.68147639919878,83.34637824529818,283.1623994939973
1140,22.955318087829,61.84246122111822,84.79777930894721,303.5889648315166
1160,20.751329755264322,66.94804924050918,87.6993789957735,328.6526532917972
1180,18.375456337824513,61.38402466197009,79.7594809997946,301.33846771861744
1200,17.212026711981284,64.78832528174038,82.00035199372167,318.05041741667424
1220,17.74161863882257,53.24117637473004,70.9827950135526,261.3646563034418
1240,18.46309105898067,49.74203255416481,68.20512361314547,244.1871147032825
1260,18.778098938320785,61.85069965874905,80.62879859706983,303.629407897701
1280,19.012694095437613,58.860726618291174,77.87342071372879,288.9514212473771
1300,19.3397295333161,56.307899103271346,75.64762863658744,276.41941253725753
1320,19.832585990082784,54.9818182668986,74.81440425698139,269.90958902040444
1340,19.944282975807592,50.68170967743233,70.62599265323992,248.80005538345108
1360,19.72460213169173,46.06774296152895,65.79234509322067,226.14977026559671
1380,19.1109707376813,46.73769894752278,65.84866968520407,229.4386310297781
1400,18.350824819884323,56.02908496155071,74.37990978143503,275.05069442685266
1420,17.384919720690284,55.8164509797096,73.20137070039988,274.00685934719223
1440,16.67453612207232,54.84511590400842,71.51965202608073,269.23850756568254
1460,16.34441750942746,57.875380828928165,74.21979833835562,284.1142898931732
1480,17.083057408142587,70.78255429534818,87.86561170349077,347.47650663226335
1500,18.91355425713588,71.44686808770433,90.3604223448402,350.73766947349634
1520,22.237627028633465,61.917174009546244,84.15480103817971,303.95573513222377
