#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)"
20,-2.7849896489639767,11.115376377743832,8.330386728779855,54.56615958679863
40,-2.4891885343878895,21.96348938928742,19.474300854899532,107.82030462760422
60,-1.6940155061460644,29.65038414046033,27.956368634314263,145.55580826374498
80,-0.25710882652829636,34.38631515642263,34.12920632989434,168.80482465571373
100,2.3004640439570236,43.0882607527721,45.38872479672912,211.5232838413868
120,5.483281397169591,36.90394495097569,42.38722634814528,181.16404529579302
140,8.697880038826606,36.666608271799554,45.36448831062616,179.9989429482327
160,11.654288174017273,51.268604628952204,62.92289280296948,251.6811637235557
180,14.599930420811678,46.66459738202344,61.26452780283512,229.07977033504997
200,17.09952729197922,38.51011293128667,55.60964022326589,189.0488361799182
220,19.355197207103597,43.9679738429273,63.32317105003089,215.84185689160932
240,22.370541052646335,48.751261690044096,71.12180274269043,239.3233512778883
260,24.084877101968452,46.6231853367164,70.70806243868486,228.8764757099967
280,25.169554890979626,46.12050286707972,71.29005775805935,226.40877232978522
300,25.09493329279785,60.30439845917274,85.39933175197059,296.0385072248022
320,23.86880966947356,60.237505654945345,84.1063153244189,295.7101257731413
340,23.110605746159518,69.14439999693569,92.25500574309521,339.43469267678125
360,23.021377147075533,80.06191151446122,103.08328866153676,393.02951983430563
380,24.893839074878983,75.44572251479813,100.33956158967712,370.36832537014055
400,28.225146669444666,69.92706333536957,98.15221000481424,343.27684171216896
420,32.333361221685145,76.9739087152854,109.30726993697056,377.87029824629946
440,35.83057557761816,50.438749048949575,86.26932462656774,247.60734467563879
460,38.69030680885276,43.336725035570396,82.02703184442316,212.74301237293145
480,42.064032776508476,50.40659607610929,92.47062885261776,247.44950348452033
500,42.584509102437686,55.480396340603356,98.06490544304104,272.3571436340948
520,40.90075198774557,52.9517923621183,93.85254434986388,259.9440499580141
540,38.61415620438551,69.19579189598716,107.80994810037267,339.68697910144306
560,38.154403137129464,54.1453699626791,92.29977309980856,265.8034058284851
580,37.508683887194024,54.00592256327054,91.51460645046456,265.1188487976205
600,36.755304106534915,50.13423225976507,86.88953636629998,246.1124504722565
620,38.47376250985237,50.26819967084621,88.74196218069858,246.77010585737878
640,37.487311735049104,56.42255005258564,93.90986178763475,276.9822420613741
660,36.29764883306249,54.59905912914753,90.89670796221002,268.03059765888383
680,34.692346618313756,47.75717960656598,82.44952622487973,234.4433328452192
700,32.833762969336334,45.154587128524724,77.98835009786106,221.6670244531298
720,31.020177078893546,44.59321248062688,75.61338955952043,218.9111970673374
740,29.516886040786016,54.61316552121406,84.13005156200008,268.0998469235545
760,27.73288338536867,56.42531441647907,84.15819780184773,276.9958125169519
780,26.15026408349263,53.685127873160596,79.83539195665323,263.54404524079393
800,25.846813775623993,48.05062552652732,73.89743930215131,235.8838793777475
820,26.92866321951289,61.657942816074275,88.58660603558717,302.6831510835909
840,27.6527519338002,47.89619652246737,75.54894845626757,235.12577660245702
860,26.99551019107157,56.4551159878197,83.45062617889127,277.14211051374906
880,26.43987219060786,52.02905879525043,78.4689309858583,255.41428638054103
900,26.112097857010422,57.10588612256175,83.21798397957217,280.33678659307265
920,26.05034035533787,56.1617735516413,82.21211390697917,275.7020719903446
940,26.25684950631085,58.739368140781046,84.9962176470919,288.35566399850086
960,27.454038984314394,61.80797005497304,89.26200903928743,303.4196452860282
980,28.852010619002428,56.574933276364284,85.42694389536672,277.7303019582666
1000,29.846327890928475,52.471618622898355,82.31794651382683,257.5868435087455
1020,30.830799861534263,49.2845590785829,80.11535894011716,241.94134543492808
1040,31.061099127635238,50.97099321934739,82.03209234698264,250.22016851120605
1060,31.68795890723553,54.17179337519189,85.85975228242742,265.93312020746805
1080,30.79084581264061,55.79657746515373,86.58742327779434,273.909298875108
1100,29.896116794995514,52.203833865150315,82.09995066014582,256.27226941519984
1120,28.694910951457565,51.850585497835695,80.54549644929327,254.5381484885112
1140,27.872285329511694,64.19236697097146,92.06465230048316,315.12481641250054
1160,27.492048524822547,68.94472084744166,96.43676937226421,338.4544537746363
1180,28.91765683073459,70.95273223791655,99.87038906865114,348.3119220475192
1200,30.151056691607835,51.0469135188051,81.19797021041293,250.59286656796115
1220,31.633978148612307,48.4301176761135,80.0640958247258,237.74683286600893
1240,32.789576257553385,50.70612354449035,83.49569980204373,248.91990476333228
1260,33.50547901248505,53.601323147931915,87.10680216041696,263.13264198681935
1280,34.3518118878117,53.829125542641535,88.18093743045324,264.2509398655011
1300,34.39463940268979,51.95685579702901,86.3514951997188,255.05983681538873
1320,33.77267432997187,52.11059106033337,85.88326539030524,255.81453396881855
1340,33.29437399729114,43.92012034241196,77.2144943397031,215.60694071269026
1360,31.609108528798497,42.028856092610326,73.63796462140883,206.32259231382568
1380,29.086309983115278,36.59456174844079,65.68087173155607,179.64526152911853
1400,26.314912114936334,46.11627697409975,72.43118908903608,226.38802712576282
1420,24.153029502020978,44.74956209846554,68.90259160048652,219.6787282699156
1440,22.996766436711024,48.387642028297165,71.38440846500819,237.53831694189324
1460,22.041256879124713,51.27918389439565,73.32044077352036,251.7330980770927
1480,22.21011317896983,66.81641280868723,89.02652598765707,328.00644084679044
1500,24.145126715944457,64.8625620120024,89.00768872794686,318.4148507145687
1520,28.01466250382401,73.55408402514753,101.56874652897154,361.0821398016986
1540,31.2716147074827,78.11884095244548,109.39045565992818,383.49085062759707
1560,35.19174869329663,79.39021336330163,114.58196205659826,389.73210665955077
1580,40.409387321868266,67.52997055198985,107.93935787385811,331.50934568529937
1600,43.888930918570594,62.726575116084305,106.6155060346549,307.9291417401655
