#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)"
20,-2.765414008404711,10.284402032635894,7.518988024231183,50.4868484427797
40,-2.575981896103713,24.59676860060981,22.020786704506097,120.74725633832821
60,-2.016951899514572,24.17466910635288,22.157717206838306,118.67514041688736
80,-1.1555524006347588,24.047081631854663,22.891529231219906,118.04880458639887
100,-0.15968364642050903,23.54463543907448,23.384951792653972,115.58226110579133
120,1.0217972436017027,32.83283129750336,33.854628541105065,161.178663806043
140,2.7612787175506783,34.37236370885597,37.13364242640665,168.7363360244233
160,4.655459114333984,38.04747175975164,42.702930874085624,186.7776983309155
180,6.47469596602366,33.67348817414937,40.14818414017303,165.30550717417702
200,7.596456106346411,37.00169004649993,44.59814615284634,181.64388280195985
220,8.344794595738614,34.26177558792694,42.60657018366555,168.1934512088358
240,8.773901789083654,39.93379266175929,48.70769445084294,196.03777948992672
260,9.164345450742143,45.73464819131084,54.898993642052986,224.51458475576166
280,9.925689997545556,52.085184488484636,62.01087448603019,255.68981133173114
300,11.825663406710508,59.8024587429292,71.62812214963971,293.574450072915
320,14.870268142343022,60.631050606678976,75.501318749022,297.6420654494148
340,18.123259962715558,57.254724296534995,75.37798425925055,281.06744359267674
360,22.391147001704844,51.88427793611048,74.27542493781533,254.70354702305397
380,25.41619909539217,47.546154889396625,72.96235398478879,233.40739775831761
400,25.773111423383277,53.92606180673619,79.69917323011947,264.726806761644
420,24.17170825757235,58.91319864527623,83.08490690284859,289.2090100955642
440,22.84722311441436,56.413883597345446,79.26110671175981,276.9396978268275
460,21.10937851439675,43.99878798508505,65.1081664994818,215.99312566932494
480,19.01841772856925,58.924347553181185,77.94276528175044,289.2637408637619
500,17.371021228769212,57.79474981941579,75.16577104818501,283.718466631488
520,16.923014200593705,61.67816063081124,78.60117483140495,302.7824017493301
540,17.543300938923455,60.02077899678364,77.5640799357071,294.646199459351
560,17.920384735956006,62.43986296671583,80.36024770267184,306.52165175815827
580,18.874392418491848,68.53801934600136,87.41241176449321,336.45792767622936
600,19.707306225116557,54.010852266193936,73.71815849131049,265.1430490538504
620,19.31694355532678,62.39421459961229,81.71115815493907,306.2975607332934
640,18.197998440906947,59.35553389635756,77.5535323372645,291.38046476170564
660,17.00901863351113,66.86925755212036,83.87827618563149,328.2658593860735
680,17.404729872017565,66.1463326426241,83.55106251464167,324.71697047396884
700,19.62616800024885,69.1961380231904,88.82230602343925,339.6886782640775
720,23.726443788265357,64.07214730139823,87.79859108966359,314.5346496513875
740,29.82472683238047,62.77426093864435,92.59898777102482,308.1632347762816
760,35.79447589870436,54.27391118335757,90.06838708206193,266.4344236656379
780,39.72339409024338,53.499096606123956,93.22249069636734,262.6308047475992
800,37.58075022180334,49.336391312079684,86.91714153388303,242.19579349216065
820,32.77107302522822,60.91223623313896,93.68330925836719,299.0224253441685
840,28.13306077898125,60.39945099041916,88.53251176940041,296.505126744723
860,25.519599767566078,65.29985910737844,90.81945887494452,320.5615727221932
880,25.473301922209917,64.18249974863957,89.65580167084948,315.076377528369
900,26.650329902901376,57.23685358161626,83.88718348451764,280.97971500400394
920,27.752091591700765,69.53621112977694,97.2883027214777,341.3581209149207
940,28.614278288052947,76.32926494817231,104.94354323622525,374.70569693389047
960,31.547464963154844,72.23925339644644,103.78671835960128,354.6275443406786
980,37.11730398618106,68.07256863647332,105.18987262265438,334.1729976088364
1000,43.58810270774699,65.37615334597164,108.96425605371863,320.93610647230224
1020,47.39064533940157,57.72406734863697,105.11471268803854,283.3714814418341
1040,47.78853712808558,63.11835413204864,110.90689126013422,309.8524123143112
1060,43.89394202065823,63.191781089401246,107.08572311005948,310.21287038039145
1080,39.36726331608952,67.58004290544196,106.94730622153148,331.7551543683796
1100,36.23982039169392,77.63469470169407,113.874515093388,381.1141428415478
1120,34.683785687746614,71.6812036704903,106.36498935823693,351.8880392291051
1140,34.59193302412688,62.99599747698491,97.5879305011118,309.2517549420532
1160,34.073588914234485,59.06090227371733,93.13449118795182,289.93409753184784
1180,32.51620949510559,64.96756393708827,97.48377343219386,318.9303125042953
1200,29.06688417572636,59.19489545622957,88.26177963195593,290.59187943072675
1220,26.324474946791028,54.47456101596659,80.79903596275761,267.4194277190437
1240,24.57907958878372,54.6860402572214,79.26511984600512,268.4575940964514
1260,22.96407607249677,56.124475662583954,79.08855173508073,275.51897404589454
1280,23.778754776003424,47.74756956185525,71.52632433785868,234.39615646400628
1300,24.65305379353419,45.36659170566961,70.0196454992038,222.7077697411421
1320,24.87174290561207,53.476799938996166,78.34854284460823,262.52134885016466
1340,24.598354435998992,46.99705169520304,71.59540613120203,230.71181179651597
1360,25.16952170063203,65.23610265708997,90.405624357722,320.2485878512451
1380,26.815568020560917,61.156985918479315,87.97255393904024,300.2239186571472
1400,27.841396885800485,66.45487098186021,94.2962678676607,326.23160674765484
1420,29.72201902548161,70.72285598743865,100.44487501292026,347.1834434659115
1440,32.55547147465183,73.8248986759555,106.38037015060732,362.4115878520605
1460,34.78017635769423,72.0026638742446,106.78284023193883,353.46610983893027
1480,36.225746502083325,63.6537724627783,99.87951896486163,312.48081832481665
1500,36.75901654063596,43.906714620288476,80.66573116092444,215.5411310857458
1520,38.07610319838303,42.32434980325965,80.40045300164269,207.77319159397882
1540,36.44407547018139,40.24107772981928,76.68515320000067,197.54626336780734
1560,33.50852790914199,42.77640271782995,76.28493062697194,209.99235094943802
1580,29.555335643774427,51.157676729132824,80.71301237290726,251.1366109096454
1600,26.010575022881977,57.381073431942866,83.39164845482485,281.6877003300126
1620,23.13751243603544,69.01413070670783,92.15164314274327,338.795191625421
1640,19.94321545379858,67.07766955024599,87.02088500404457,329.2889684525642
1660,17.1783668746638,63.648093197659456,80.82646007232326,312.45293841537597
1680,16.151343860547495,71.04130476537648,87.19264862592398,348.74673077590944
1700,16.490997389787452,65.55235883316433,82.04335622295179,321.80111152543554
1720,18.55760687770413,60.43821211609223,78.99581899379636,296.69540781999774
1740,20.76538469172242,68.36717611621496,89.13256080793738,335.6192463195175
1760,23.167726180346733,57.24519816794518,80.41292434829191,281.02067916156693
1780,24.822132170877662,50.08130279231861,74.90343496319628,245.85261601686997
1800,25.63013233612483,57.153366490578264,82.7834988267031,280.5698710384736
1820,26.678084730973076,50.69139542535951,77.36948015633259,248.84760339704513
1840,27.47670665853947,49.417856833548484,76.89456349208795,242.59571343137108
1860,28.447627864693466,46.12199210462259,74.56961996931605,226.41608310097868
1880,27.538245062514928,52.354873187113505,79.89311824962843,257.01373200414344
1900,25.650329517478596,59.837220557304555,85.48755007478314,293.7450982494833
1920,24.981165537828836,63.673999768842265,88.65516530667111,312.5801155841436
1940,25.25889742378407,49.97285948169024,75.23175690547431,245.32026022496746
1960,26.429910092596295,52.0140880043249,78.44399809692119,255.34079372145135
1980,27.165991576476447,57.31780414964182,84.48379572611827,281.377107000767
2000,28.817425391648325,47.7500184426723,76.56744383432063,234.40817819111032
2020,30.478986772961772,41.77068454856937,72.24967132153114,205.05521015831755
2040,31.28820119360535,48.275815558292805,79.56401675189815,236.98935298413613
2060,32.56353086771365,43.21299053313793,75.77652140085158,212.13559105163083
2080,33.04012777721195,37.74772170820998,70.78784948542193,185.30620437580998
2100,31.47439218016165,48.64497554606249,80.11936772622414,238.80158516783752
2120,29.271860428083915,44.52429651278416,73.79615694086807,218.57288376407274
2140,28.026415424538865,44.67305619284556,72.69947161738442,219.30315543157687
2160,27.93802869800136,55.34231073294343,83.28033943094479,271.67927173411147
2180,27.718722852579454,56.3731472012017,84.09187005378115,276.7397200107437
2200,29.544206178470493,52.92361893093524,82.46782510940574,259.80574461505506
2220,31.168289288362935,46.67911771484648,77.84740700320941,229.15105166382816
2240,33.17608209492611,53.93133351630026,87.10741561122637,264.7526859523788
2260,34.860832623254346,47.47847417162304,82.33930679487739,233.07514838398453
2280,35.35665145817781,46.80613988403513,82.16279134221294,229.77461237103802
2300,35.70625855743086,44.90764140834497,80.61389996577583,220.45475065162492
2320,37.262691526828824,37.118998923432656,74.38169045026149,182.21976027854052
2340,38.660190767864655,41.336014259570334,79.996205027435,202.92138332680764
2360,40.98701946562214,43.497976461095156,84.48499592671729,213.53460689206986
2380,42.15857565669842,41.51998224796728,83.6785579046657,203.82449504093995
