#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)"
5,4.340649286283737,1.0286433764183025,5.36929266270204,5.049682235495961
10,4.341975601186076,2.4149786366288066,6.756954237814883,11.855298930664226
15,4.344240942871132,3.0801475056917527,7.424388448562885,15.120659403219477
20,4.348687093790844,3.6568658447799094,8.005552938570753,17.951810041566585
25,4.354195617430766,4.528216504397087,8.882412121827853,22.229331335756353
30,4.36171803138664,5.165226338214952,9.52694436960159,25.356457136018367
35,4.371263037494338,6.643114072175865,11.014377109670203,32.611511324210596
40,4.382504499515082,6.790708616542625,11.173213116057706,33.33606325914852
45,4.395320585900262,7.5480857145423945,11.943406300442657,37.054080372774166
50,4.411846087515997,8.264813332110446,12.676659419626443,40.57254634562164
55,4.428170899969387,8.933054841649582,13.36122574161897,43.85299062504755
60,4.446116161460299,8.96168644648491,13.407802607945209,43.993545174491224
65,4.46580331062867,9.395353392488346,13.861156703117015,46.12244652510355
70,4.486849204872117,10.397550984350142,14.884400189222259,51.04230455569018
75,4.508901675854306,10.4867092241948,14.995610900049106,51.4799885871174
80,4.532922494887459,9.624815320878842,14.1577378157663,47.24889117062366
85,4.5577817816491075,9.841660604081577,14.399442385730683,48.31339982303213
90,4.584860301402326,10.401456476391962,14.986316777794288,51.061476889111624
95,4.618226490355613,11.435450720137974,16.053677210493586,56.13742690633706
100,4.657722989054624,11.407109969192584,16.06483295824721,55.99830017896935
105,4.699677473655152,10.056998864115176,14.756676337770328,49.370510393364604
110,4.744145387790761,10.476806635551336,15.220952023342097,51.43137608729025
115,4.786019277203395,9.21808983456168,14.004109111765075,45.25224732877965
120,4.828717337948656,8.311859678449053,13.14057701639771,40.80350014826825
125,4.874351837081835,9.084961822121343,13.959313659203179,44.598712610257856
130,4.923967105166899,8.705012654115487,13.628979759282387,42.7335155866293
135,4.97207895953572,8.82579935462241,13.79787831415813,43.32646594223043
140,5.0227095091735015,9.30314258981992,14.325852098993423,45.66977724940481
145,5.0764577209358555,9.24409165943836,14.320549380374217,45.37989210458859
150,5.12996352688446,10.671575217486533,15.801538744370992,52.38750867004744
155,5.191960215320046,12.33544475784859,17.527404973168636,60.555560545717505
160,5.257919234125982,12.16727740785112,17.425196641977102,59.730015269929595
165,5.3294366650821825,12.302260481160108,17.63169714624229,60.39265661192164
170,5.40409444041066,14.115840742541236,19.519935182951897,69.29564888163345
175,5.480922564810657,12.758258196791955,18.23918076160261,62.631181271527765
180,5.557150718978095,13.40157456025303,18.958725279231125,65.78926626662545
185,5.63402707411276,13.750493910023975,19.384520984136735,67.50213574360018
190,5.7134743776895265,14.756967067641746,20.47044144533127,72.44298282533865
195,5.78929503817563,12.501890371656541,18.29118540983217,61.372653698204246
200,5.866578455847535,10.418244780996053,16.28482323684359,51.1438918498909
205,5.941484952587811,10.422303049169807,16.36378800175762,51.16381417202283
210,6.014894271767861,10.393353363511588,16.408247635279448,51.02169814158621
215,6.0870536033864395,10.43526449826465,16.522318101651088,51.22744283161563
220,6.163835423524293,10.938882599114635,17.10271802263893,53.69973929085246
225,6.230996164715426,10.876305796734451,17.107301961449878,53.392545393941724
230,6.292019275284959,10.649490150687484,16.94150942597244,52.27909153341723
235,6.358533156720161,10.953622493840752,17.312155650560914,53.77209846435993
240,6.431258216680727,10.719169593382771,17.150427810063498,52.621152788098925
245,6.510245558902264,11.188803579255683,17.699049138157946,54.926618851473656
250,6.589144325952933,10.83886138025402,17.428005706206953,53.20872813612967
255,6.671649858989103,10.935246044737692,17.606895903726794,53.68188719122625
260,6.752925492767909,11.059953031585971,17.81287852435388,54.29408250649935
265,6.840841812455207,12.008800166917192,18.8496419793724,58.95203941685897
270,6.9418356205314495,12.401284570723398,19.343120191254847,60.87877278922599
