#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)"
10,349.6692321717091,212.54093533920656,562.2101675109157,1065.115355959631
20,285.91466081583053,289.323047917909,575.2377087337395,1449.8967960152922
30,239.32387535800072,331.3936059292168,570.7174812872175,1660.726758253482
40,155.01901198857166,381.22268583396163,536.2416978225333,1910.4373285734052
50,157.8939401813636,381.42353210865247,539.3174722900161,1911.4438379830824
60,142.94127383819068,399.44664227391456,542.3879161121052,2001.763810314698
70,196.30158409140734,377.2997618068847,573.601345898292,1890.778213895877
80,149.59317927719485,401.66751270148546,551.2606919786804,2012.8933519826462
90,142.22695868934179,399.98994612088234,542.2169048102242,2004.4864918039546
100,114.48749833918768,410.3800777814627,524.8675761206504,2056.55499693434
110,90.67997863404901,412.5407315715242,503.2207102055732,2067.382772426313
120,124.80668929073613,388.82480088428065,513.6314901750168,1948.534128443717
130,98.45043847972961,404.948057351118,503.3984958308476,2029.3332837852338
140,162.80205199200807,372.2485384258885,535.0505904178966,1865.4648050652677
150,151.01051675347495,390.3759706556598,541.3864874091347,1956.3075709599057
160,154.78048324224775,382.56905180727637,537.3495350495241,1917.1844291760747
170,100.04346610919568,418.8413274097694,518.8847935189651,2098.957214160561
180,165.74068455757273,389.8720906555941,555.6127752131669,1953.7824558578461
190,92.53751861772864,425.363217736497,517.9007363542256,2131.6406383009303
200,175.8204514845616,386.6116246094746,562.4320760940361,1937.4431448081207
210,134.30820851020624,401.1756849774314,535.4838934876376,2010.4286349598258
220,159.10618411724133,390.0642780587034,549.1704621759447,1954.7455726990654
230,162.59430981343942,381.9353064101683,544.5296162236077,1914.0085141310449
240,212.10944719535297,349.8084276437832,561.9178748391362,1753.009731197685
250,204.31620595697245,337.30074205049016,541.6169480074626,1690.3294387087583
260,252.59824101563618,297.6135630943297,550.2118041099659,1491.4434044798181
270,215.15704815592554,318.41331862383424,533.5703667797598,1595.678096866602
280,185.55726854099163,351.92485496568173,537.4821235066734,1763.6158727239228
290,182.48144102553414,363.68879808849437,546.1702391140285,1822.569017193463
300,160.37766444737443,372.1784364823494,532.5561009297238,1865.1135002381438
310,203.14767451764453,348.8077335148938,551.9554080325383,1747.9949104922161
320,248.89937043204912,305.67794218079524,554.5773126128444,1531.8567676165035
330,182.8731990809018,334.49686461948596,517.3700637003877,1676.278249448558
340,224.37009343261803,322.2743218483505,546.6444152809686,1615.0269052139383
350,254.40432490979555,316.40306932904633,570.8073942388419,1585.6040497670706
360,146.10893028897425,380.42205105913604,526.5309813481103,1906.4250737490768
370,160.58709253020766,393.4337973035676,554.0208898337753,1971.6313866444052
380,86.77131121880701,429.9674027904648,516.7387140092718,2154.7137851036127
390,202.61115793696928,369.1709099681841,571.7820679051533,1850.041755735934
400,91.62677793289281,423.5686219105097,515.1953998434025,2122.6473045276057
410,95.68640453928055,429.1391609866571,524.8255655259377,2150.5631820102585
420,111.51334033564333,409.85928302570363,521.372623361347,2053.9451162034734
430,126.96154740205736,399.71247898028264,526.67402638234,2003.0960090164606
440,160.4264784017984,376.04080754794006,536.4672859497384,1884.469163305163
450,203.4757250554248,352.33854333939104,555.8142683948158,1765.6890067238112
460,151.49439606468445,371.7294098888657,523.2238059535501,1862.8632743266485
470,138.06336756007573,373.7134444485784,511.77681200865413,1872.805950418348
480,155.99327162102546,368.4023706001279,524.3956422211534,1846.1903419775924
490,161.4743790504657,366.21287823812867,527.6872572885943,1835.218046533424
500,197.63035754013504,346.54094308474265,544.1713006248776,1736.6352479780605
510,235.54852079966867,327.3974855560099,562.9460063556785,1640.7008316385788
520,234.40046704099495,329.8091579413212,564.2096249823162,1652.7865472069202
530,181.64326618838837,359.05366597199475,540.6969321603831,1799.3407840707177
540,183.99970598990598,358.6371105776957,542.6368165676017,1797.253282449594
550,179.5581208781141,367.04524741817494,546.6033682962891,1839.3893333214485
560,153.54131105715612,386.5434392110457,540.0847502682018,1937.101444444363
570,163.29607773817202,385.52063419032106,548.8167119284931,1931.9758184938241
580,120.50736611573123,395.5601496428824,516.0675157586136,1982.287265829139
590,136.6948244428791,380.1441849526976,516.8390093955767,1905.0325916072438
600,227.75570405560745,318.51631646189253,546.2720205175,1596.1942542777447
610,133.49177305465932,380.9729400502221,514.4647131048814,1909.1857669910562
620,140.16835354802092,394.4165685423524,534.5849220903733,1976.5563896145609
630,92.2243228210491,431.0987451640743,523.3230679851233,2160.383328869646
640,110.4027888009321,423.3022708787307,533.7050596796628,2121.3125283652125
650,86.57782282059529,430.0109860008717,516.588808821467,2154.932195484617
660,117.33214560283625,411.76515129587773,529.0972968987139,2063.496074270722
670,167.23544151216856,385.9421016664519,553.1775431786205,1934.0879362378628
680,202.43970428291135,361.06158883483477,563.5012931177462,1809.403172623681
690,203.34132522580407,354.8894243030572,558.2307495288612,1778.4723441138049
700,169.34643917230792,367.04613152800755,536.3925707003154,1839.3937638983514
710,262.86975523560585,318.5645174826387,581.4342727182445,1596.4358060865184
720,180.2100455130631,361.4270892135061,541.6371347265692,1811.2348200910765
730,201.61569904892178,351.8329106960635,553.4486097449853,1763.1551085266326
740,207.03929668235372,348.76360816190754,555.8029048442613,1747.773783249232
750,138.92768328014108,384.7497946630179,523.6774779431589,1928.1128778504092
760,165.7801418686176,363.09717589792143,528.877317766539,1819.6041959504398
770,198.90720266783356,327.75757775877037,526.6647804266039,1642.5053768858716
780,261.49020981027604,292.02704433924714,553.5172541495232,1463.447447357965
790,178.52003344719083,337.58609828948545,516.1061317366763,1691.7594564678677
800,197.6492723674234,340.33212702784414,537.9813993952675,1705.5207461340883
810,178.33547354808152,349.47039879539284,527.8058723434743,1751.3157529689574
820,175.7479333471881,364.1768380556986,539.9247714028868,1825.0147524705835
830,143.01748218591746,378.8421713690836,521.859653555001,1898.507756006224
840,130.20203246835877,395.6756652960417,525.8776977644004,1982.8661542952
850,145.81895839876577,395.011366402284,540.8303248010498,1979.5371252234165
860,92.02691897219509,419.812194650288,511.83911362248307,2103.822562121998
870,118.23502762747026,410.59025922606907,528.8252868535393,2057.6082880748477
880,131.95401317132448,397.9762260438536,529.9302392151781,1994.395051426954
890,151.47800846656,391.31205869939373,542.7900671659537,1960.9986284652282
900,123.72410081098207,400.07820577933603,523.802306590318,2004.9287911538686
910,122.86048985551297,404.27582490145085,527.1363147569638,2025.96449695002
920,150.5078174445924,395.8483964320791,546.3562138766715,1983.7317691244193
930,103.6269699248034,420.7876476516213,524.4146175764247,2108.71089090007
940,162.38533773457826,387.42095147175274,549.806289206331,1941.4989586570025
950,92.58803319991787,416.8038431101559,509.3918763100738,2088.7466831323545
960,206.02142284168366,350.19493108570254,556.2163539273862,1754.9466322020137
970,231.9256991892499,334.0307135240918,565.9564127133417,1673.942206798189
980,241.7427290763442,309.27309566618686,551.0158247425311,1549.873311950474
990,245.46465782936787,291.29475622712783,536.7594140564956,1459.7777010478712
1000,243.0382560359954,308.2639244948866,551.302180530882,1544.8160098847418
1010,208.2214311885873,346.4068808420625,554.6283120306498,1735.9634162054886
1020,193.85013606947794,353.13553156178966,546.9856676312676,1769.6829874261211
1030,160.03055352082424,368.5046035207737,528.5351570415979,1846.7026661258355
1040,198.3800540880266,339.6504271266234,538.0304812146501,1702.10451465949
1050,228.02909432299833,313.47944598439096,541.5085403073892,1570.9527727579398
1060,196.4163398266146,333.6810111699745,530.0973509965891,1672.1897286377296
1070,156.87030383114313,364.73905915820956,521.6093629893527,1827.832234800626
1080,160.63299199623958,373.66409401907686,534.2970860153164,1872.5586385289869
1090,113.90756558091265,406.19372167555514,520.1012872564678,2035.5757339664735
1100,122.01659567879977,408.83673537646894,530.8533310552687,2048.8207800295404
1110,147.83792169124163,393.070977935949,540.9088996271906,1969.8131746408053
1120,179.2603502174398,377.5682618695978,556.8286120870375,1892.1237595876535
1130,107.66351943242722,425.7112460215724,533.3747654539995,2133.384727128574
1140,111.5312639460498,421.93496222121007,533.4662261672598,2114.4604768056506
1150,173.74907254166183,382.7486464640477,556.4977190057095,1918.0844394563067
1160,165.3425026539917,387.3630019645623,552.705504618554,1941.2085538468407
1170,98.4967699912848,432.7062794481787,531.2030494394635,2168.439233246366
1180,124.37394906268327,410.94963089101526,535.3235799536985,2059.4092224605934
1190,135.04108578272806,400.3393077342453,535.3803935169734,2006.237262395896
1200,108.16019627143388,419.82540649644943,527.9856027678833,2103.888771204049
1210,190.6324552206916,359.96755723316164,550.6000124538532,1803.9206059031224
1220,229.29515725688464,325.0039575903924,554.299114847277,1628.7060439661277
1230,151.3639411356055,369.31656622531676,520.6805073609223,1850.771689082261
1240,240.09178852069465,302.1274851307676,542.2192736514622,1514.0642124147291
1250,181.2348978547405,343.5766657884011,524.8115636431417,1721.7802401057324
1260,129.87980032473217,383.4405367429651,513.3203370676972,1921.5517384005689
1270,229.84297338172877,317.77059786135067,547.6135712430794,1592.4572031944124
1280,136.62918635171997,386.85236188482224,523.4815482365423,1938.6495616723141
1290,120.4285483862653,408.537315621234,528.9658640074992,2047.320285178186
1300,148.76880298395272,387.7753596548492,536.5441626388019,1943.2750193367551
1310,99.63834555112706,426.6378348011948,526.2761803523218,2138.028180570899
1320,182.99683982170345,363.68287941777066,546.6797192394741,1822.5393567091678
1330,84.64876325630848,432.4576998103855,517.106463066694,2167.1935156203945
1340,113.60899331896397,410.3214465138916,523.9304398328555,2056.2611755896205
1350,117.14573523460695,409.3988602238397,526.5445954584466,2051.637779992138
1360,192.81729162173806,357.1231968660656,549.9404884878037,1789.6665427973874
1370,197.32246513467067,354.9744112825516,552.2968764172223,1778.8982429495827
1380,150.36089685937367,383.64885543913357,534.0097522985072,1922.595694671244
1390,155.54316013235407,383.0870116585016,538.6301717908557,1919.7801032302518
1400,98.80752251116343,423.81084115252133,522.6183636636847,2123.8611480338636
1410,147.6080741308389,393.88876846602705,541.4968425968659,1973.911402825199
1420,120.70359352453116,417.6495392377664,538.3531327622976,2092.9847558149463
1430,100.96815693112688,432.09100144173743,533.0591583728643,2165.355864615288
1440,121.83311824998297,414.94283179244854,536.7759500424315,2079.4205186034305
1450,146.81062142542038,394.79086603207327,541.6014874574937,1978.4321224156918
1460,159.61646392375303,376.5797983204865,536.1962622442395,1887.1702305026113
1470,151.64647546217537,373.8514077295196,525.497883191695,1873.4973316285348
1480,233.06150850615091,310.1327281281849,543.1942366343358,1554.1812243735292
1490,157.44874038235082,368.7479937670488,526.1967341493996,1847.9223779351616
1500,140.5133963180864,393.1740800348794,533.6874763529659,1970.329854538855
1510,220.1925147842681,346.5951734098963,566.7876881941644,1736.9070146943764
1520,148.45636091466753,392.9429002740122,541.3992611886797,1969.1713336501905
