#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)"
10,245.06459624581345,229.2021053498346,474.26670159564804,1148.610180136687
20,251.05054487496113,259.47724959509844,510.5277944700596,1300.329287743225
30,189.73721421762133,304.95942348965406,494.6966377072754,1528.2560245866628
40,136.6562148705108,350.22767192870435,486.88388679921513,1755.1107077698223
50,136.5214947045831,366.98954512247747,503.5110398270606,1839.1101900570468
60,79.80407483832079,392.33074694538993,472.1348217837107,1966.1036238488914
70,127.42675283944288,371.9148449811011,499.341597820544,1863.7925530275186
80,117.56742258953238,374.1820129213898,491.7494355109222,1875.1541073741525
90,120.74043878589276,358.92632705193574,479.6667658378285,1798.7026451684412
100,175.78315617666715,332.52184068843155,508.3049968650987,1666.380728700395
110,95.34105962447367,368.0164785646775,463.3575381891512,1844.2565049402954
120,182.9575893325691,315.11366468031775,498.07125401288687,1579.142401853389
130,194.1747904858671,305.8049032337691,499.9796937196362,1532.4930128975145
140,97.24741623000345,367.5491670140186,464.7965832440221,1841.9146468515007
150,126.07187116935233,359.1246096144789,485.19648078383125,1799.6963069392748
160,154.78574456988247,347.6926683469643,502.47841291684676,1742.406937373711
170,139.62807817120702,361.60791157833967,501.23598974954666,1812.1409828365154
180,94.34925378075395,388.7421477486635,483.09140152941745,1948.1199252982215
190,98.79597641753992,381.43575850234424,480.23173491988416,1911.505108625598
200,151.11928700061478,344.3174317258094,495.43671872642415,1725.4924716993603
210,163.42234943615153,330.50513991904495,493.9274893551965,1656.2743510540315
220,209.1499756435514,289.0278392855143,498.1778149290657,1448.4174045414873
230,209.85312734234327,286.4903733165256,496.3435006588689,1435.7012942802735
240,160.97462447582663,325.7730815459578,486.74770602178444,1632.5603872925165
250,138.07715068104,349.71887496371676,487.79602564475675,1752.5609520740122
260,147.1703741427524,348.55331678899336,495.72369093174575,1746.7199412203574
270,134.38283573471716,361.910025830396,496.2928615651132,1813.6549807334661
280,151.94326366697047,348.68070953061994,500.62397319759043,1747.3583498409262
290,137.1148536220394,355.79533721764165,492.91019083968104,1783.0121837213896
300,132.2915468171231,357.84847708090075,490.14002389802386,1793.3011701361713
310,127.13206733703512,362.35975776383157,489.49182510086666,1815.908741344819
320,111.89798382573218,376.273157400115,488.1711412258472,1885.6335479217616
330,111.017249768853,377.32274148358215,488.33999125243514,1890.8933729191792
340,68.63592599418864,400.2510498788618,468.88697587305046,2005.7949720817833
350,134.36748505857145,356.30800593875875,490.6754909973302,1785.5813421120333
360,197.38974686993467,308.83810172287394,506.22784859280864,1547.6934084507902
370,142.36408491648757,349.2741426206874,491.638227537175,1750.3322461209848
380,127.25499572931724,364.31761192972033,491.57260765903754,1825.720218524448
390,162.11186425198966,345.28617071011854,507.3980349621082,1730.3471542406678
400,170.80327295829886,340.23256336068164,511.0358363189805,1705.0217985284369
410,139.3337216656519,361.8775138982603,501.21123556391217,1813.4920523163382
420,128.05354051251848,370.3916544947919,498.4451950073104,1856.1593242829929
430,129.55454528786015,369.85182955432225,499.4063748421824,1853.454076784639
440,144.2134815135262,355.4290151195351,499.64249663306134,1781.1764183367218
450,185.89691518032504,316.46508979605204,502.3620049763771,1585.914855549901
460,217.2684802362412,282.3380604857597,499.6065407220009,1414.892633813345
470,230.41472107998925,270.9074148255087,501.32213590549793,1357.6097569791202
480,180.2654404184505,313.9480888811184,494.2135292995689,1573.3013026774547
490,157.5141918179208,341.3063741951994,498.8205660131202,1710.4030320654742
500,119.42522945520882,376.13112747429943,495.55635692950824,1884.9217873625519
510,98.07405488939979,392.1379869449382,490.212041834338,1965.137637526453
520,82.1884231812625,399.0499745184854,481.2383976997479,1999.7759724572638
530,88.41077315102547,394.0554899315346,482.4662630825601,1974.7469011389558
